session_id,timestamp,click_x,click_y,zone,dimension
20260412_175523_fa92,2026-04-12 18:08:39,250,552,Zone 5,past
20260412_175523_fa92,2026-04-12 18:08:40,232,537,Zone 5,past
20260412_175523_fa92,2026-04-12 18:08:40,212,543,Zone 5,past
20260412_175523_fa92,2026-04-12 18:08:41,212,537,Zone 5,past
20260412_175523_fa92,2026-04-12 18:08:41,639,19,Zone 5,past
20260412_175523_fa92,2026-04-12 18:08:43,380,402,Zone 1,past
20260412_175523_fa92,2026-04-12 18:08:43,500,472,Zone 5,past
20260412_175523_fa92,2026-04-12 18:08:44,599,31,Zone 5,present
20260412_175523_fa92,2026-04-12 18:08:45,450,142,Zone 5,present
20260412_175523_fa92,2026-04-12 18:08:46,403,183,Zone 5,present
20260412_175523_fa92,2026-04-12 18:08:46,672,35,Zone 5,future
20260412_175523_fa92,2026-04-12 18:08:47,422,150,Zone 5,future
20260412_175523_fa92,2026-04-12 18:08:48,348,282,Zone 5,future
20260412_175523_fa92,2026-04-12 18:08:48,362,362,Zone 5,future
20260412_175523_fa92,2026-04-12 18:08:50,591,425,Zone 5,future
20260412_175523_fa92,2026-04-12 18:08:50,336,460,Zone 5,future
20260412_175523_fa92,2026-04-12 18:08:51,308,446,Zone 5,future
20260412_175523_fa92,2026-04-12 18:08:52,305,440,Zone 5,future
20260412_175523_fa92,2026-04-12 18:08:55,444,423,Zone 5,future
20260412_175523_fa92,2026-04-12 18:08:56,432,421,Zone 5,future
20260412_175523_fa92,2026-04-12 18:08:56,447,141,Zone 5,future
20260412_175523_fa92,2026-04-12 18:08:57,413,283,Zone 5,future
20260412_175523_fa92,2026-04-12 18:08:57,413,283,Zone 5,future
20260412_175523_fa92,2026-04-12 18:08:57,413,283,Zone 5,future
20260412_175523_fa92,2026-04-12 18:08:57,413,283,Zone 5,future
20260412_175523_fa92,2026-04-12 18:08:59,413,283,Zone 5,future
20260412_175523_fa92,2026-04-12 18:08:59,412,283,Zone 5,future
20260412_175523_fa92,2026-04-12 18:09:00,429,189,Zone 5,future
20260412_175523_fa92,2026-04-12 18:09:00,431,160,Zone 5,future
20260412_175523_fa92,2026-04-12 18:09:02,335,339,Zone 5,future
20260412_175523_fa92,2026-04-12 18:09:03,334,351,Zone 5,future
20260412_175523_fa92,2026-04-12 18:09:03,333,347,Zone 5,future
20260412_175523_fa92,2026-04-12 18:09:05,281,385,Zone 5,future
